id	Sex	TrueID	BestAgeLastCapture2	Alive	FirstPL	LastPL	EstAgePL	BestAgeFirstCapture2	FirstCapYear2	LastCapYear2
S2153	Male	202100000031100	11.3	N	66	130	0.945688588	1.3	2003	2013
S2069	Female	103110000091100	8	Y	75	147	2.065836395	1	2011	2018
S710	Female	103110000011100	8	Y	75	137.49	2.065836395	2	2011	2017
S2004	Male	202000000010912	5	Y	77.68	112.13	1.455998937	3	2015	2017
S1258	Female	102120000101100	2	N	78	78	2.250179937	2	2003	2003
S1343	Male	210120000101100	2.6	N	78	155	1.470979108	1.7	2011	2012
S1345	Male	203110000101200	7	Y	80	115.61	1.565950694	2	2011	2016
S1189	Male	201100000010800	1.9	N	82	82	1.663326879	1.9	2007	2007
S2122	Male	212000000081000	4	Y	82.1	92.8	1.668261009	2	2014	2016
S2064	Female	102000000010208	5	Y	82.35	111.84	2.526871	3	2015	2017
S2072	Male	202000000010809	4	Y	83.2	96.4	1.722958366	2	2015	2017
S366	Male	203110000021100	6	N	85	116	1.814175776	2	2011	2015
S5	Female	103000000031112	12	N	88	145.9	2.904298977	2	2005	2015
S398	Male	208090000081200	3	N	88.5	88.5	1.997986021	3	2014	2014
S2075	Male	211000000080911	3	Y	88.94	89.86	2.021727787	2	2016	2017
S353	Male	203100000020300	2.3	N	89	89	2.024976685	2.3	2011	2011
S355	Male	203100000021100	2.2	N	89	89	2.024976685	2.3	2011	2011
S970	Male	201020300090000	13.2	Y	89	132.86	2.024976685	2.3	2005	2016
S357	Male	203100000030800	6.2	N	90	105.4	2.079532974	2.3	2011	2015
S527	Male	209120000110000	13.3	N	90	139.2	2.079532974	2.4	2003	2014
S388	Male	208090000011100	2.5	N	90.2	90.2	2.090537713	2.5	2014	2014
S1259	Female	103000000010900	3	N	92	92	3.185042213	3	2003	2003
S703	Female	102100000030800	17.2	Y	92	146	3.185042213	2.3	2003	2018
S2074	Male	209110000011100	3	Y	92.52	92.52	2.220548298	3	2017	2017
S2015	Male	208120000010300	4	Y	92.92	99.66	2.243414916	3	2016	2017
S2061	Female	103110000030900	8	Y	93	143.72	3.257114987	2	2011	2017
S760	Male	203100000031000	2.5	N	93	93	2.248004599	2.5	2011	2011
S988	Male	202110000011000	2.4	N	93	93	2.248004599	2.4	2011	2011
S995	Male	202110000031100	2.5	N	93	93	2.248004599	2.6	2011	2011
S2036	Male	210110000080900	2	Y	93.49	93.49	2.27623655	2	2017	2017
S1061	Male	201110000030800	11	Y	94	118.14	2.305842589	3	2009	2017
S1173	Male	201100000011100	6.7	N	94	108	2.305842589	2.8	2007	2011
S167	Male	201110000110000	4	N	94	94	2.305842589	4	2000	2000
S226	Male	202090000010900	2.6	N	94	94	2.305842589	2.7	2011	2011
S906	Female	101030000021200	17	N	94	160.8	3.329975457	2	2000	2015
S992	Male	202110000021100	2.6	N	94	94	2.305842589	2.7	2011	2011
S526	Male	209100000010800	2	N	94.6	94.6	2.340967526	2	2014	2014
S2045	Male	203000000020310	6	Y	94.9	125.69	2.358651023	4	2015	2017
S577	Male	212000000081100	2.5	N	94.9	94.9	2.358651023	2.5	2014	2014
S396	Male	208090000080900	2.8	N	95	95	2.364563636	2.8	2014	2014
S399	Male	208090000091100	2.6	N	95	95	2.364563636	2.6	2014	2014
S1003	Male	202120000030900	2.5	N	96	96	2.424195123	2.5	2011	2011
S2065	Male	203110000021200	8	Y	96	129.94	2.424195123	2	2011	2017
S259	Male	202110000011100	5.4	N	96	113.9	2.424195123	2.5	2011	2014
S351	Male	203100000011100	2.5	N	96	96	2.424195123	2.6	2011	2011
S2147	Male	211000000010300	6	Y	96.4	111.25	2.448309019	4	2014	2016
S1054	Male	203120000010200	5	N	97	114	2.484765726	3	2011	2013
S2089	Female	401031100100000	7	Y	97.7	141	3.606702415	3	2014	2018
S2172	Male	209110000030000	2.8	N	98	98	2.546305501	2.8	2003	2003
S331	Male	203090000021100	2.9	N	98	98	2.546305501	3	2011	2011
S385	Male	208000000101100	2.8	N	98.2	98.2	2.558732503	2.8	2014	2014
S1334	Male	201120000010800	5.8	N	98.4	112	2.571199787	2.9	2008	2011
S2017	Male	211120000021200	2.9	Y	98.6	100.09	2.583707616	3	2017	2017
S1034	Male	202000000031200	5.9	Y	99	109.44	2.608845966	2.9	2013	2016
S1208	Male	210110000010000	2.8	N	99	99	2.608845966	2.9	2003	2003
S671	Male	201000000081100	11	N	99	134.5	2.608845966	4	2007	2014
S855	Male	201080000101100	2.9	N	99.1	99.1	2.61515631	3	2008	2008
S1364	Male	201120000081200	7.5	N	99.2	114	2.621477024	3.5	2008	2012
S1285	Male	201090000010000	13	N	100	137	2.672420204	3	2000	2010
S987	Male	202110000010900	5.8	N	100	107.6	2.672420204	2.9	2011	2014
S1392	Male	208090000091200	2.9	N	100.5	100.5	2.70460578	2.9	2015	2015
S495	Male	209100000010900	2.9	N	100.7	100.7	2.717555805	3	2014	2014
S1277	Male	210110000020000	3	N	101	101	2.737062967	3.1	2003	2003
S856	Male	201100000031100	4.4	N	101.2	108	2.750122924	3.5	2008	2009
S2102	Male	212000000011112	2	Y	101.69	101.69	2.7823085	2	2016	2016
S391	Male	208090000020900	3	N	101.9	101.9	2.796185198	3.1	2014	2014
S392	Male	208090000021000	3.1	N	101.9	101.9	2.796185198	3.2	2014	2014
S1040	Female	403000000010800	4	N	102	140.2	3.943434782	3	2013	2014
S2165	Male	211000000091200	2.9	N	102	102	2.802810787	3	2014	2014
S234	Male	202090000021200	5.5	N	102	115	2.802810787	3.5	2011	2013
S310	Male	203000000030900	5.1	N	102	108.2	2.802810787	3.1	2013	2015
S374	Male	208000000020000	9.4	Y	102	132.76	2.802810787	3.5	2011	2017
S885	Female	108090000020300	8.7	N	102.7	154	3.999898116	2.7	2008	2014
S2067	Female	111000000011012	5	Y	102.72	112.87	4.001518402	4	2016	2017
S1018	Male	203090000081100	2.9	N	103	103	2.869702105	2.9	2011	2011
S333	Male	203090000030800	3.1	N	103	103	2.869702105	3.2	2011	2011
S572	Male	212000000030708	4	N	103	103	2.869702105	4	2014	2014
S931	Female	102080000081100	14	N	103	152	4.024243852	4	2003	2013
S1240	Female	102090000030800	16	N	104	144.23	4.106044469	3	2003	2016
S1297	Female	102120000111200	6	N	104	150	4.106044469	4	2003	2005
S208	Male	202000000031000	4.6	N	104	129	2.937777402	3.6	2013	2014
S2186	Male	209120000100000	3.2	N	104	104	2.937777402	3.3	2003	2003
S2187	Male	202110000091000	3.5	N	104	104	2.937777402	3.5	2011	2011
S222	Male	202080000091200	6.3	N	104	118.5	2.937777402	3.4	2011	2014
S290	Male	202120000091200	3.2	N	104	104	2.937777402	3.3	2011	2011
S302	Male	203000000020300	4.6	N	104	99.5	2.937777402	3.7	2013	2014
S535	Male	210000000030800	3.2	N	104	104	2.937777402	3.3	2014	2014
S378	Male	208000000030900	6.9	N	104.5	104.5	2.972272286	7	2014	2014
S836	Male	201030000011000	8.7	N	104.7	117	2.986157333	3.7	2008	2013
S393	Male	208090000021100	5	N	104.8	104.8	2.9931187	5	2014	2014
S1021	Male	201000000020309	4	N	105	105	3.007079346	4	2013	2013
S1229	Female	102090000010800	3	N	105	105	4.188861269	3	2003	2003
S2086	Male	211000000020900	5	Y	105	116.16	3.007079346	3	2014	2016
S2188	Male	202000000021100	3.4	N	105	105	3.007079346	3.5	2013	2013
S291	Male	202120000101100	3.3	N	105	105	3.007079346	3.3	2011	2011
S1385	Male	208000000011200	3.3	N	106	106	3.077652956	3.3	2014	2014
S2014	Male	202080000080900	9.4	Y	106	129.64	3.077652956	3.4	2011	2017
S2066	Male	209100000020900	7	Y	106	115.96	3.077652956	5	2015	2017
S363	Male	203100000101200	8.7	Y	106	116.78	3.077652956	3.7	2011	2016
S503	Male	208110000011100	4	N	106.2	106.2	3.091924416	4	2014	2014
S2085	Male	203110000031200	3.5	Y	106.6	106.6	3.120627189	3.6	2016	2016
S1197	Male	208090000101200	3.6	N	107	107	3.149545776	3.6	2003	2003
S1207	Male	209120000090000	16.5	Y	107	139.91	3.149545776	3.6	2003	2016
S1233	Female	102080000030900	3	N	107	107	4.357646656	3	2003	2003
S149	Male	201000000030911	3.1	N	107	107	3.149545776	3.2	2013	2013
S191	Male	202000000030900	3.4	N	107	107	3.149545776	3.5	2013	2013
S296	Female	103000000010212	6	Y	107	156.89	4.357646656	3	2014	2017
S837	Male	201030000091200	6.7	N	107.2	119	3.164087017	3.7	2008	2011
S2138	Male	210000000030900	6.1	Y	107.4	113.16	3.178683444	4.2	2014	2016
S537	Male	210000000031000	3.6	N	107.4	107.4	3.178683444	3.6	2014	2014
S1014	Male	203090000011100	4.4	N	108	108	3.222808064	4.5	2011	2011
S1198	Male	208090000120000	4.1	N	108	108	3.222808064	4.1	2003	2003
S1242	Female	102090000031100	4	N	108	108	4.443669355	4	2003	2003
S253	Male	202100000081100	7.9	N	108	128.6	3.222808064	3.9	2010	2014
S524	Male	209000000091100	4.4	N	108	108	3.222808064	4.5	2013	2013
S1296	Female	102120000101200	12	N	109	155	4.530816565	4	2003	2011
S154	Male	201000000101100	3.5	N	109	109	3.29749301	3.5	2013	2013
S200	Male	202000000101200	7.2	Y	109	122.47	3.29749301	4.2	2013	2016
S547	Male	210000000111200	10.9	Y	109	124.31	3.29749301	3.9	2010	2017
S390	Male	208090000020800	3.5	N	109.1	109.1	3.305041891	3.5	2014	2014
S555	Male	211000000031100	4.2	N	109.5	109.5	3.335386458	4.2	2014	2014
S1022	Male	201000000030809	3.2	N	110	110	3.373656961	3.3	2013	2013
S1181	Male	209120000080000	9.1	N	110	122.9	3.373656961	4.1	2003	2008
S1292	Male	202110000090000	13.9	N	110	130	3.373656961	3.9	2001	2011
S2181	Male	209120000010000	4	N	110	110	3.373656961	4	2003	2003
S975	Male	202090000020300	10.4	Y	110	123.28	3.373656961	4.5	2011	2017
S510	Male	208110000041300	6.9	Y	110.2	115.6	3.389072428	3.9	2014	2017
S1023	Male	201000000030810	9.6	Y	111	125.28	3.451359681	5.7	2013	2017
S1046	Male	203000000030800	8	N	111	118.4	3.451359681	6	2013	2015
S1237	Female	102090000021000	3	N	111	111	4.708604879	3	2003	2003
S1254	Female	102120000081200	4	N	111	111	4.708604879	4	2003	2003
S2158	Male	201000000030912	4.4	N	111	111	3.451359681	4.4	2013	2013
