Sample_id Subject_id Missing Gender SurvivalTime CensoringIndicator
S2153 S2153 0 1 11.3 0
S2069 S2069 0 0 8 1
S710 S710 0 0 8 1
S2004 S2004 0 1 5 1
S1258 S1258 0 0 2 0
S1343 S1343 0 1 2.6 0
S1345 S1345 0 1 7 1
S1189 S1189 0 1 1.9 0
S2122 S2122 0 1 4 1
S2064 S2064 0 0 5 1
S2072 S2072 0 1 4 1
S366 S366 0 1 6 0
S5 S5 0 0 12 0
S398 S398 0 1 3 0
S2075 S2075 0 1 3 1
S353 S353 0 1 2.3 0
S355 S355 0 1 2.2 0
S970 S970 0 1 13.2 1
S357 S357 0 1 6.2 0
S527 S527 0 1 13.3 0
S388 S388 0 1 2.5 0
S1259 S1259 0 0 3 0
S703 S703 0 0 17.2 1
S2074 S2074 0 1 3 1
S2015 S2015 0 1 4 1
S2061 S2061 0 0 8 1
S760 S760 0 1 2.5 0
S988 S988 0 1 2.4 0
S995 S995 0 1 2.5 0
S2036 S2036 0 1 2 1
S1061 S1061 0 1 11 1
S1173 S1173 0 1 6.7 0
S167 S167 0 1 4 0
S226 S226 0 1 2.6 0
S906 S906 0 0 17 0
S992 S992 0 1 2.6 0
S526 S526 0 1 2 0
S2045 S2045 0 1 6 1
S577 S577 0 1 2.5 0
S396 S396 0 1 2.8 0
S399 S399 0 1 2.6 0
S1003 S1003 0 1 2.5 0
S2065 S2065 0 1 8 1
S259 S259 0 1 5.4 0
S351 S351 0 1 2.5 0
S2147 S2147 0 1 6 1
S1054 S1054 0 1 5 0
S2089 S2089 0 0 7 1
S2172 S2172 0 1 2.8 0
S331 S331 0 1 2.9 0
S385 S385 0 1 2.8 0
S1334 S1334 0 1 5.8 0
S2017 S2017 0 1 2.9 1
S1034 S1034 0 1 5.9 1
S1208 S1208 0 1 2.8 0
S671 S671 0 1 11 0
S855 S855 0 1 2.9 0
S1364 S1364 0 1 7.5 0
S1285 S1285 0 1 13 0
S987 S987 0 1 5.8 0
S1392 S1392 0 1 2.9 0
S495 S495 0 1 2.9 0
S1277 S1277 0 1 3 0
S856 S856 0 1 4.4 0
S2102 S2102 0 1 2 1
S391 S391 0 1 3 0
S392 S392 0 1 3.1 0
S1040 S1040 0 0 4 0
S2165 S2165 0 1 2.9 0
S234 S234 0 1 5.5 0
S310 S310 0 1 5.1 0
S374 S374 0 1 9.4 1
S885 S885 0 0 8.7 0
S2067 S2067 0 0 5 1
S1018 S1018 0 1 2.9 0
S333 S333 0 1 3.1 0
S572 S572 0 1 4 0
S931 S931 0 0 14 0
S1240 S1240 0 0 16 0
S1297 S1297 0 0 6 0
S208 S208 0 1 4.6 0
S2186 S2186 0 1 3.2 0
S2187 S2187 0 1 3.5 0
S222 S222 0 1 6.3 0
S290 S290 0 1 3.2 0
S302 S302 0 1 4.6 0
S535 S535 0 1 3.2 0
S378 S378 0 1 6.9 0
S836 S836 0 1 8.7 0
S393 S393 0 1 5 0
S1021 S1021 0 1 4 0
S1229 S1229 0 0 3 0
S2086 S2086 0 1 5 1
S2188 S2188 0 1 3.4 0
S291 S291 0 1 3.3 0
S1385 S1385 0 1 3.3 0
S2014 S2014 0 1 9.4 1
S2066 S2066 0 1 7 1
S363 S363 0 1 8.7 1
S503 S503 0 1 4 0
S2085 S2085 0 1 3.5 1
S1197 S1197 0 1 3.6 0
S1207 S1207 0 1 16.5 1
S1233 S1233 0 0 3 0
S149 S149 0 1 3.1 0
S191 S191 0 1 3.4 0
S296 S296 0 0 6 1
S837 S837 0 1 6.7 0
S2138 S2138 0 1 6.1 1
S537 S537 0 1 3.6 0
S1014 S1014 0 1 4.4 0
S1198 S1198 0 1 4.1 0
S1242 S1242 0 0 4 0
S253 S253 0 1 7.9 0
S524 S524 0 1 4.4 0
S1296 S1296 0 0 12 0
S154 S154 0 1 3.5 0
S200 S200 0 1 7.2 1
S547 S547 0 1 10.9 1
S390 S390 0 1 3.5 0
S555 S555 0 1 4.2 0
S1022 S1022 0 1 3.2 0
S1181 S1181 0 1 9.1 0
S1292 S1292 0 1 13.9 0
S2181 S2181 0 1 4 0
S975 S975 0 1 10.4 1
S510 S510 0 1 6.9 1
S1023 S1023 0 1 9.6 1
S1046 S1046 0 1 8 0
S1237 S1237 0 0 3 0
S1254 S1254 0 0 4 0
S2158 S2158 0 1 4.4 0
S2185 S2185 0 1 6.3 0
S239 S239 0 1 5.1 0
S245 S245 0 1 7.8 0
S322 S322 0 1 4.7 0
S543 S543 0 1 5 0
S569 S569 0 1 3 0
S659 S659 0 1 4 0
S1000 S1000 0 1 4.4 0
S1007 S1007 0 1 4.5 0
S1013 S1013 0 0 7 0
S1273 S1273 0 1 4.5 0
S1386 S1386 0 1 7 1
S227 S227 0 1 6.4 0
S305 S305 0 1 9.6 1
S321 S321 0 1 5.6 0
S341 S341 0 1 4.7 0
S656 S656 0 1 4.2 0
S1196 S1196 0 1 6.5 0
S1218 S1218 0 0 5.2 0
S1247 S1247 0 0 3.2 0
S1274 S1274 0 1 4.9 0
S215 S215 0 1 4.5 0
S890 S890 0 0 3 0
S971 S971 0 1 12.6 0
S974 S974 0 1 5.5 0
S1331 S1331 0 1 9.5 0
S1027 S1027 0 1 12.3 0
S1063 S1063 0 1 12 1
S1201 S1201 0 1 4.8 0
S2184 S2184 0 1 5.9 0
S219 S219 0 1 7.5 0
S232 S232 0 1 8.5 0
S348 S348 0 1 5.4 0
S972 S972 0 1 9 0
S2166 S2166 0 1 7 1
S1042 S1042 0 1 7.7 0
S1045 S1045 0 1 6.4 0
S1235 S1235 0 0 3 0
S1268 S1268 0 1 3.8 0
S1272 S1272 0 1 7.3 0
S2016 S2016 0 1 11.4 1
S2114 S2114 0 1 7.7 1
S1265 S1265 0 0 17.2 1
S1291 S1291 0 1 17.9 0
S1395 S1395 0 1 9 1
S155 S155 0 1 6.9 1
S350 S350 0 1 7.8 0
S750 S750 0 1 6.2 0
S1332 S1332 0 1 6.9 0
S1048 S1048 0 1 8.9 0
S1191 S1191 0 1 4 0
S1276 S1276 0 1 4 0
S188 S188 0 1 4 0
S2030 S2030 0 0 9 1
S2071 S2071 0 0 8 1
S214 S214 0 1 9 1
S223 S223 0 1 4 0
S344 S344 0 1 5 0
S358 S358 0 1 10.5 0
S575 S575 0 1 4 0
S759 S759 0 1 10 1
S991 S991 0 1 12.6 1
S999 S999 0 1 6.5 0
S2121 S2121 0 1 6.8 1
S2148 S2148 0 1 18 1
S218 S218 0 1 4 0
S863 S863 0 0 5.5 0
S967 S967 0 1 21 1
S2057 S2057 0 0 6.4 1
S553 S553 0 1 12 0
S565 S565 0 1 4.1 0
S2024 S2024 0 1 10.4 1
S1232 S1232 0 0 4 0
S2077 S2077 0 0 8 1
S809 S809 0 1 5.1 0
S90 S90 0 0 18.5 1
S997 S997 0 1 4.1 0
S376 S376 0 1 5.6 0
S887 S887 0 0 6 0
S1234 S1234 0 0 3 0
S2173 S2173 0 1 4.2 0
S340 S340 0 1 4.2 0
S354 S354 0 1 4.2 0
S362 S362 0 1 4.2 0
S395 S395 0 1 4.3 0
S538 S538 0 1 4.3 0
S2040 S2040 0 0 7 1
S2163 S2163 0 1 4.3 0
S318 S318 0 1 4.3 0
S324 S324 0 1 10.3 1
S730 S730 0 0 11.7 0
